x;;;x;y;;;;;;;;
113312;113311;;213212;1;;;0;;;;;
113311;113321;;223212;1;;;0;;;;;
113322;113331;;233331;1;;;0;;;;;
113321;123311;;313212;1;;;0;;;;;
113332;123321;;313222;1;;;0;;;;;
113331;123331;;313232;1;;;0;;;;;
113212;133311;;313322;1;;;0;;;;;
113232;133321;;323211;1;;;0;;;;;
123312;133331;;113212;1;;;0;;;;;
123311;213311;;113232;1;;;0;;;;;
123322;213321;;113311;1;;;0;;;;;
123321;213331;;113312;1;;;0;;;;;
123332;223311;;113321;1;;;0;;;;;
123331;223321;;113322;1;;;0;;;;;
123212;223331;;113331;1;;;0;;;;;
123232;233311;;113332;1;;;0;;;;;
133311;233321;;123212;1;;;0;;;;;
133322;233331;;123232;1;;;0;;;;;
133321;323311;;123311;1;;;0;;;;;
133331;323321;;123312;1;;;0;;;;;
133232;323331;;123321;1;;;0;;;;;
214322;323211;214322;123322;0;;;123322;;;;;214322
213312;323221;;123331;1;;;0;;;;;
213311;323231;;123332;1;;;0;;;;;
213322;333311;;133232;1;;;0;;;;;
213321;333321;;133311;1;;;0;;;;;
213332;333331;;133321;1;;;0;;;;;
213331;333211;;133322;1;;;0;;;;;
213212;333221;;133331;1;;;0;;;;;
213222;333231;;213222;1;;;0;;;;;
213232;113312;;213232;1;;;0;;;;;
224322;113322;224322;213311;0;;;213311;;;;;224322
223312;113332;;213312;1;;;0;;;;;
223311;113212;;213321;1;;;0;;;;;
223322;113232;;213322;1;;;0;;;;;
223321;123312;;213331;1;;;0;;;;;
223332;123322;;213332;1;;;0;;;;;
223331;123332;;214322;1;;;0;;;;;
223212;123212;;223222;1;;;0;;;;;
223222;123232;;223232;1;;;0;;;;;
223232;133322;;223311;1;;;0;;;;;
233312;133232;;223312;1;;;0;;;;;
233311;213312;;223321;1;;;0;;;;;
233322;213322;;223322;1;;;0;;;;;
233321;213332;;223331;1;;;0;;;;;
233332;213212;;223332;1;;;0;;;;;
233331;213222;;224322;1;;;0;;;;;
233112;213232;233112;233112;0;;;233112;;;;;233112
233232;223312;;233232;1;;;0;;;;;
314311;223322;314311;233311;0;;;233311;;;;;314311
314321;223332;314321;233312;0;;;233312;;;;;314321
314331;223212;314331;233321;0;;;233321;;;;;314331
314212;223222;314212;233322;0;;;233322;;;;;314212
313322;223232;;233332;1;;;0;;;;;
313212;233312;;314212;1;;;0;;;;;
313222;233322;;314311;1;;;0;;;;;
313232;233332;;314321;1;;;0;;;;;
324232;233232;324232;314331;0;;;314331;;;;;324232
323312;313322;;323212;1;;;0;;;;;
323311;313212;;323221;1;;;0;;;;;
323322;313222;;323222;1;;;0;;;;;
323321;313232;;323231;1;;;0;;;;;
323332;323312;;323232;1;;;0;;;;;
323331;323322;;323311;1;;;0;;;;;
323212;323332;;323312;1;;;0;;;;;
323211;323212;;323321;1;;;0;;;;;
323222;323222;;323322;1;;;0;;;;;
323221;323232;;323331;1;;;0;;;;;
323232;333312;;323332;1;;;0;;;;;
323231;333322;;324232;1;;;0;;;;;
333312;333332;;333211;1;;;0;;;;;
333311;333212;;333212;1;;;0;;;;;
333322;333232;;333221;1;;;0;;;;;
333321;;;333231;1;;;0;;;;;
333332;;;333232;1;;;0;;;;;
333331;;;333311;1;;;0;;;;;
333212;;;333312;1;;;0;;;;;
333211;;;333321;1;;;0;;;;;
333221;;;333322;1;;;0;;;;;
333232;;;333331;1;;;0;;;;;
333231;;;333332;1;;;0;;;;;
;;0;;;;;;;;;;
;;0;;;;;;;;;;
;;0;;;;;;;;;;
;;0;;;;;;;;;;
;;0;;;;;;;;;;
;;0;;;;;;;;;;
;;0;;;;;;;;;;
